actual,n,mean_residual,MAE
1.8,3,-1.5307322060583601,1.5307322060583601
2.0,2,-1.7770579335530277,1.7770579335530277
2.2,3,-1.2180964973263586,1.2180964973263586
2.4,3,-1.1940142107342206,1.1940142107342206
2.6,21,-0.46057617056825056,0.46057617056825056
2.8,8,-0.8664785137785727,0.8664785137785727
3.0,15,-0.6486604062100613,0.6486604062100613
3.2,33,-0.526887801578484,0.526887801578484
3.4,49,-0.3407717122460994,0.3407717122460994
3.6,54,-0.10007514770888479,0.1453825995785216
3.8,61,0.08882631785889776,0.10472685967719976
4.0,81,0.2346671734907202,0.23694144017936541
4.2,39,0.4619730056318554,0.4619730056318554
4.4,25,0.6533520033873631,0.6533520033873631
4.6,15,0.8549985592540176,0.8549985592540176
4.8,6,1.0869647721696705,1.0869647721696705
5.0,15,0.21853071407175315,0.22125635099341143
