feature_set,model,n_train,n_test,CV_MAE_mean,CV_RMSE_mean,CV_R2_mean,Test_MAE,Test_RMSE,Test_R2
A,Random Forest,2172,441,0.5210162336227343,0.6823500874646726,0.2292330691841689,0.39891867842580353,0.5332741806035091,0.24938479263779179
A,Dummy,2172,441,0.6584501955760126,0.8073944405560896,-0.112667267554958,0.5222850711800989,0.6528090210415153,-0.12483426950807863
B,Gradient Boosting,2172,441,0.4690550010042922,0.606194130469311,0.38516919311574294,0.378752725287018,0.5023923745124076,0.3338035370012553
B,Dummy,2172,441,0.6584501955760126,0.8073944405560896,-0.112667267554958,0.5222850711800989,0.6528090210415153,-0.12483426950807863
