feature_set,model,fold,metric,value
B,Random Forest,1,MAE,0.36239771025054707
B,Random Forest,2,MAE,0.3884869062978031
B,Random Forest,3,MAE,0.3939620726199718
B,Random Forest,4,MAE,0.4124600074880984
B,Random Forest,5,MAE,0.3475809112401382
B,Random Forest,1,RMSE,0.4821537100315296
B,Random Forest,2,RMSE,0.5088991357985901
B,Random Forest,3,RMSE,0.5091615072886182
B,Random Forest,4,RMSE,0.5346535984959616
B,Random Forest,5,RMSE,0.4597475763380811
B,Random Forest,1,R2,0.33434613616738085
B,Random Forest,2,R2,0.2906550649599674
B,Random Forest,3,R2,0.3058582535821802
B,Random Forest,4,R2,0.2904779821226503
B,Random Forest,5,R2,0.41455096509400613
B,Gradient Boosting,1,MAE,0.37483283613519397
B,Gradient Boosting,2,MAE,0.385961629421145
B,Gradient Boosting,3,MAE,0.39771359839081066
B,Gradient Boosting,4,MAE,0.4205331845169127
B,Gradient Boosting,5,MAE,0.3452276888288166
B,Gradient Boosting,1,RMSE,0.48309895979086587
B,Gradient Boosting,2,RMSE,0.4975279520919842
B,Gradient Boosting,3,RMSE,0.5075495961945505
B,Gradient Boosting,4,RMSE,0.5380882349507059
B,Gradient Boosting,5,RMSE,0.45646115576507373
B,Gradient Boosting,1,R2,0.3317335837155614
B,Gradient Boosting,2,R2,0.32200105840301896
B,Gradient Boosting,3,R2,0.31024634521526806
B,Gradient Boosting,4,R2,0.28133270477497097
B,Gradient Boosting,5,R2,0.4228909980109926
